company_name,valuation,date_joined,country,city,industry,investors,founded_year,total_raised,about_company,company_address_street,company_address_city_state_zip,company_address_city_country,company_address_city_phone,company_url,company_img,financials_investors_count,financials_investments,iso_alpha,continent,year_joined,month_joined,day_joined
Global Switch,11.1,2016-12-22,United Kingdom,London,Enterprise Tech,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",1998,$6.255B,"Global Switch owns and operates ten data centers centrally located in Tier 1 cities across Europe and Asia-Pacific. It offers world-class technical spaces for mission-critical information technology (IT) infrastructures and connects them to a diverse choice of telecoms, internet, and cloud providers. It was founded in 1998 and is based in London, United Kingdom.","2nd Floor, Nova North 11 Bressenden Place","London, England, SW1E 5BY, ",United Kingdom,+44 20 8054 9000,https://globalswitch.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/96315f60-d4c1-4faf-a0db-11ac137e94ae.png?w=3840,6,,GBR,Europe,2016,12,22
OfBusiness,5.0,2021-07-31,India,Gurgaon,Industrials,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",2015,$855.55M,"OfBusiness provides an online marketplace for business-to-business (B2B) commerce. The company sells products such as chemicals, steel, cement, agriculture, textile, solar, and more. It was founded in 2015 and is based in South Delhi, India.",Shop No. G-22 C (UGF)  D-1 (K-84) Green Park Main,"South Delhi, 122001, ",India,01141054262,https://ofbusiness.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/ad4c360c-5c96-4f0a-beb8-a53e258f97d6.png?w=3840,14,5,IND,Asia,2021,7,31
ROX Motor,2.0,2022-04-29,China,Shanghai,Industrials,"Sequoia Capital China, IDG Capital, Qiming Venture Partners",2021,$1.425B,"ROX Motor is a technology company focused on innovation in the intelligent automotive sector. It provides automotive products and services for EV automobile manufacturing. The company was founded in 2021 and is based in Shanghai, China.","No. 78, Lane 1688, Guoquan North Road Unit 1204-2","Shanghai, Shanghai, ",China,+86-021-60940105,https://roxmotor.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/788bc06d-e5f6-4b18-b588-639430f1e53b.png?w=3840,8,,CHN,Asia,2022,4,29
dbt Labs,4.2,2021-06-30,United States,Philadelphia,Enterprise Tech,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",2016,$415.9M,"dbt Labs helps data teams work directly within the warehouse to produce trusted datasets for reporting, ML modeling, and operational workflows.",915 Spring Garden St Suite 500,"Philadelphia, Pennsylvania, 19123, ",United States,,https://getdbt.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/f3ec15e0-0aa4-4c16-8eee-a8aa7ff89fba.png?w=3840,12,,USA,Americas,2021,6,30
NuCom Group,2.2,2018-02-22,Germany,Unterfoehring,Consumer & Retail,General Atlantic,2016,,"NuCom Group is an investment business that operates in the media sector. The company offers a range of deal options, including media-for-revenue partnerships, media-for-equity investments, and strategic majority investments, providing tailored support for businesses at different growth stages. It primarily serves the start-up and scale-up sectors. It was founded in 2016 and is based in Unterfoehring, Germany.",Medienallee 7 ,"Unterfoehring, D-85774, ",Germany,+49 89 9507 8680,https://nucom.group,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/57d19b5f-0e77-485e-a3a4-8e2b343feb34.png?w=3840,1,,DEU,Europe,2018,2,22
5ire,1.5,2022-07-15,United Kingdom,London,Enterprise Tech,"Global Emerging Markets, Sram & Mram Group, Marshland Capital",2021,$121M,"5ire operates as a blockchain company focusing on sustainability, operating within the technology and blockchain industry. The company offers a contract platform that is designed to develop a for-benefit blockchain ecosystem based on the Sustainable Development Goals (SDGs) defined by the United Nations. It primarily serves sectors such as government, social entrepreneurs, and universities. It was founded in 2021 and is based in London, United Kingdom.",160 City Road Kemp House,"London, England, EC1V 2NX, ",United Kingdom,,https://5ire.org,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/31961ec0-197f-4c9e-8d00-5003fb887246.png?w=3840,8,2,GBR,Europe,2022,7,15
Black Sesame Technologies,2.0,2021-09-22,China,Shanghai,Industrials,"Northern Light Venture Capital, Xiaomi, FutureX Capital",2016,$615M,"Black Sesame Technologies specializes in the development of intelligent automotive computing chips and solutions for autonomous driving within the technology sector. The company offers automotive chips and a variety of customized solutions for smart driving capabilities. Black Sesame Technologies primarily serves the automotive industry with advanced SoC designs, middleware, and sensor fusion technologies for intelligent vehicles. It was founded in 2016 and is based in Wuhan, China.","No. 1278 Heping Avenue, Qingshan District 32F, Shenzhen International Investment Center","Wuhan, Hubei, ",China,027-86434706,https://bst.ai,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/1b13d0bf-e714-4d68-8b20-107cb752a4f6.png?w=3840,,,CHN,Asia,2021,9,22
Abogen,3.7,2021-11-29,China,Suzhou,Healthcare & Life Sciences,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners",2019,$1.134B,"Abogen operates as a plant-based pharmaceutical research company. It focuses on the research and development of messenger ribonucleic acid (mRNA) drugs to create antidotes against human disease. The company was founded in 2019 and is based in Suzhou, China.","Unit 501, Building B1, No. 218, Xinghu Street, Suzhou Industrial Park, Suzhou Area, China (Jiangsu) Pilot Free Trade Zone ","Suzhou, Jiangsu, 215123, ",China,,https://abogenbio.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/9bdd572e-7a01-4184-93df-b45d7be64611.png?w=3840,40,,CHN,Asia,2021,11,29
Jiuxian,1.05,2015-07-30,China,Beijing,Consumer & Retail,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth",2009,$249.21M,"Jiuxian is an internet company that operates in the retail industry. The company's main service is providing an online platform for the sale of various types of alcoholic beverages, including wine, beer, and spirits. It was founded in 2009 and is based in Beijing, Beijing.","4th Floor, Building 8, Jinghai 5th Road No.58 Ludong District, Economic and Technological Development Zone, Daxing","Beijing, Beijing, ",China,400-617-9999,https://jiuxian.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/57b2fb9c-bd38-4973-b32c-304fbcd1b2d9.png?w=3840,8,2,CHN,Asia,2015,7,30
Momenta,1.0,2018-10-17,China,Beijing,Industrials,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China",2016,$1.283B,"Momenta is a leading company in the autonomous driving technology domain, focusing on developing software solutions for full vehicle autonomy. The company offers products such as MSD, a fully autonomous driving solution designed for taxis and private cars, and Mpilot, a mass-production-ready software for highly automated driving in private vehicles. Momenta's solutions are built on a unique 'flywheel approach' that combines a data-driven methodology with iterative algorithm enhancements to address complex driving scenarios. It was founded in 2016 and is based in Beijing, Beijing.","5F-AB, No.8 College, No.18 Xueqing Road Haidian District","Beijing, Beijing, 100083, ",China,+86 (010)82526609,https://momenta.cn,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/cac68822-776f-4b2c-83ee-cd0088f494f0.png?w=3840,27,6,CHN,Asia,2018,10,17
Graphcore,2.77,2018-12-18,United Kingdom,Bristol,Enterprise Tech,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2016,$682M,"Graphcore specializes in processor technology for artificial intelligence, operating within the artificial intelligence (AI) and machine learning industry. The company offers Intelligence Processing Units (IPUs) designed to accelerate machine learning tasks and enable new types of AI research. Graphcore's products are utilized across various sectors, including finance, healthcare, scientific research, and AI-native startups. It was founded in 2016 and is based in Bristol, United Kingdom. In July 2024, Graphcore was acquired by SoftBank.",11-19 Wine Street ,"Bristol, England, BS1 2PH, ",United Kingdom,0117 214 1420,https://graphcore.ai,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/611415d7-39c0-4136-be48-87d3e1d9a302.png?w=3840,32,,GBR,Europe,2018,12,18
Kry,2.0,2021-04-27,Sweden,Stockholm,Healthcare & Life Sciences,"Index Ventures, Creandum, Accel",2014,$730.99M,"Kry is a digital healthcare provider offering medical services across various domains including primary and urgent care. The company facilitates consultations with doctors, nurses, psychologists, and physiotherapists through video calls and in-app chats, as well as providing in-person services at physical healthcare centers. Kry's platform supports digital prescription renewals, appointment bookings, and offers multilingual support, catering to a diverse patient base. It was founded in 2014 and is based in Stockholm, Sweden.",Torsgatan 21 ,"Stockholm, 113 21, ",Sweden,+46 08227707,https://kry.se,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/1f7306d1-2046-43fa-bf17-5107a7bd52a9.png?w=3840,12,,SWE,Europe,2021,4,27
CRED,6.4,2021-04-06,India,Bengaluru,Financial Services,"Tiger Global Management, DST Global, Sequoia Capital India",2018,$832.48M,"CRED operates as a financial technology company. It offers rewards to users for timely credit card bill payments and allows credit card users to manage multiple cards along with an analysis of their credit score. The company was founded in 2018 and is based in Bengaluru, India.","100 Feet Road 12th Main Road,HAL 2nd Stage","Bengaluru, 560038, ",India,78700 78700,https://cred.club,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/9311d274-4771-4cec-b48e-b58505aede68.png?w=3840,30,1,IND,Asia,2021,4,6
Avant,2.0,2012-12-17,United States,Chicago,Financial Services,"RRE Ventures, Tiger Global, August Capital",2012,$2.23B,"Avant provides a digital lending platform. It includes personal loans, credit cards, mobile banking, and auto refinance. The company was founded in 2012 and is based in Chicago, Illinois.",222 West Merchandise Mart Plaza Suite 900,"Chicago, Illinois, 60654, ",United States,800-712-5407,https://avant.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/bb82cabb-ce72-4b07-ba0d-5fee3c885d75.png?w=3840,17,,USA,Americas,2012,12,17
DANA,1.13,2022-08-10,Indonesia,Jakarta,Financial Services,"Ant Group, Lazada, Sinar Mas Indonesia",2017,$554.5M,"DANA provides a digital wallet to deliver the convenience of carrying out transactions with the tap of a finger. The platform allows users to transact with ease, send money, buy pulsa, pay bills, and make e-commerce purchases. DANA was founded in 2017 and is based in Jakarta, Indonesia.",Gd Capital Place Office Tower 18 Floor Jalan Jend. Gatot Subroto Kav 18,"Jakarta, 12710, ",Indonesia,1500445,https://dana.id,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/cbaa2aa8-4d29-401d-8f80-625ba4ca5f7c.png?w=3840,3,,IDN,Asia,2022,8,10
Built,1.5,2021-09-30,United States,Nashville,Financial Services,"Nyca Partners, Index Ventures, Technology Crossover Ventures",2014,$291.74M,"Built is a company specializing in construction finance technology and real estate finance technology. The company offers a centralized platform for construction loan administration, real estate asset management, project financials, and payment management, designed to increase efficiency and collaboration among stakeholders. Built primarily serves sectors such as the construction industry, real estate development, and financial institutions. It was founded in 2014 and is based in Nashville, Tennessee.",635 Grassmere Park ,"Nashville, Tennessee, 37211, ",United States,800-655-8138,https://getbuilt.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/e1fce06f-f77a-4885-89c5-984ce6de2ab0.png?w=3840,24,,USA,Americas,2021,9,30
CircleCI,1.7,2021-05-11,United States,San Francisco,Enterprise Tech,"Threshold Ventures, Baseline Ventures, Harrison Metal",2011,$312.5M,"CircleCI focuses on software delivery, specifically in the domain of continuous integration and continuous delivery (CI/CD). The company offers a platform that enables teams to build, test, and deploy their software. This platform is designed to work with various languages and execution environments, and it integrates with popular services like AWS, Slack, and Atlassian. It was founded in 2011 and is based in San Francisco, California.",201 Spear Street Suite 1200,"San Francisco, California, 94105, ",United States,800-585-7075,https://circleci.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/109156d8-a581-450a-a3d2-88289584670b.png?w=3840,26,,USA,Americas,2021,5,11
Ripple,15.0,2019-12-20,United States,San Francisco,Financial Services,"IDG Capital, Venture51, Lightspeed Venture Partners",2012,$293.91M,"Ripple focuses on providing cryptocurrency and blockchain solutions. It offers services such as cross-border payments, cryptocurrency liquidity, central bank digital currency, and more solutions. It primarily serves financial institutions, enterprises, and governments. Ripple was formerly known as OpenCoin. The company was founded in 2012 and is based in San Francisco, California.",315 Montgomery Street Second Floor,"San Francisco, California, 94104, ",United States,415-967-1836,https://ripple.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/6e0cc143-bc13-4b4c-ba1d-f5ce8350ca3b.png?w=3840,37,31,USA,Americas,2019,12,20
Swiftly,1.2,2022-09-19,United States,Seattle,Consumer & Retail,"Mendacre, BRV Capital Management, Liquid 2 Ventures",2018,$215.6M,"Swiftly is a technology company focused on the retail sector. The company provides a platform that offers tools for retailers, including mobile solutions, retail media solutions, and analytics for understanding customer behavior. Swiftly primarily serves the retail industry. It was founded in 2018 and is based in Seattle, Washington.",83 Columbia St ,"Seattle, Washington, 98104, ",United States,,https://swiftly.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/2e333158-8f0f-4d8e-87fd-02795b59d749.png?w=3840,,,USA,Americas,2022,9,19
Sigma Computing,1.5,2024-05-16,United States,San Francisco,Enterprise Tech,"Sutter Hill Ventures, Snowflake Ventures, NewView Capital",2014,$613M,"Sigma offers a cloud-hosted data analytics platform. Its spreadsheet-like front end supports upwards of 10 billion rows, with formulas, calculations, and definitions that transform data from any source. It was formerly known as Bitmoon Computing. The company was founded in 2014 and is based in San Francisco, California.",116 New Montgomery Street Suite 700,"San Francisco, California, 94105, ",United States,415-787-0744,https://sigmacomputing.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/035b4625-b8ae-42fd-8dae-1c589a03d712.png?w=3840,10,,USA,Americas,2024,5,16
Capitolis,1.6,2022-03-22,United States,New York,Financial Services,"Sequoia Capital, Index Ventures, S Capital",2016,$281.84M,"Capitolis operates as a financial technology company. It offers capital marketplace solutions providing access to capital and portfolio optimization solutions. It allows market participants to reduce meaningful positions with banks and counterparties in their trading portfolios. It was founded in 2016 and is based in New York, New York.",11 West 42nd Street 15th Floor,"New York, New York, 10036, ",United States,908-279-3105,https://capitolis.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/64171581-bcd6-4408-b741-c4706b38356e.png?w=3840,14,,USA,Americas,2022,3,22
eFishery,1.3,2023-05-25,Indonesia,Bandung,Industrials,"Aqua-Spark, Wavemaker Partners, Peak XV Partners",2013,$590.87M,"eFishery offers a fish-feeding machine for commercial aquaculture. The company helps to sense the fish's appetite through motion sensors. It builds a systematic value chain for the fish and shrimp farming businesses. The company was founded in 2013 and is based in Bandung, Indonesia.","Jl. Bukit Pakar Timur IV Kav. B1, Ciburial Cimenyan District, West Java","Bandung, 40198, ",Indonesia,62 (22) 720 9215,https://efishery.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/24ad1cd3-7b28-4be1-bf87-53e80aaf625f.png?w=3840,26,,IDN,Asia,2023,5,25
Getir,8.8,2021-03-26,Turkey,Istanbul,Consumer & Retail,"Tiger Global Management, Sequoia Capital, Revo Capital",2015,$2.44B,"Getir provides technology solutions in the mobile technology and logistics sectors. It primarily offers on-demand grocery delivery services, providing a range of everyday products. It serves the e-commerce industry. The company was founded in 2015 and is based in Istanbul, Turkey.","Etiler Mah. Tanburi Ali Efendi Sk. No:13 GetirOfis  Etiler, Besiktas","Istanbul, 34337, ",Turkey,+90 (850) 532 50 50,https://getir.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/a7033e67-702b-4abe-8360-ff640ac60f79.png?w=3840,23,,TUR,Europe,2021,3,26
GlobalBees,1.1,2021-12-28,India,New Delhi,Consumer & Retail,"Chiratae Ventures, SoftBank Group, Trifecta Capital",2021,$308.5M,"GlobalBees focuses on nurturing and scaling direct-to-consumer (D2C) brands in various sectors. The company partners with entrepreneurs to grow their online-first businesses, leveraging an innovation-led strategy and a consumer-first approach to build the brands of tomorrow. It primarily sells to sectors including home care, wellness, skincare, moisture control, fashion jewelry, hair care, eyewear, healthy foods, and fitness. It was founded in 2021 and is based in New Delhi, India.","MG Road, Opposite pillar number 184, next to Arjangarh Station, 1st Floor ","New Delhi, 110017, ",India,,https://globalbees.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/625bc179-3efb-480e-9e6a-03d6bad63582.png?w=3840,9,8,IND,Asia,2021,12,28
JumpCloud,2.62,2021-09-13,United States,Louisville,Enterprise Tech,"Foundry Group, General Atlantic, BlackRock",2012,$418.45M,"JumpCloud specializes in providing a cloud-based directory platform for identity, access, and device management across various operating systems. The company offers a suite of information technology (IT) solutions that streamline user authentication, enforce security policies, and manage devices, all while ensuring compliance with IT standards. JumpCloud's platform is designed to modernize active directories and enable secure, frictionless operations for hybrid work environments. JumpCloud was formerly known as Zendship. It was founded in 2012 and is based in Louisville, Colorado.",361 Centennial Parkway Suite 300,"Louisville, Colorado, 80027, ",United States,855-212-3122,https://jumpcloud.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/d10ba618-167d-469c-aa88-0b8aefd85f0f.png?w=3840,20,,USA,Americas,2021,9,13
Forte Labs,1.73,2021-05-12,United States,San Francisco,Media & Entertainment,"Iris Capital, Accel, Elaia Partners",2018,$910M,"Forte Labs focuses on economic technology for games, operating within the gaming and blockchain industries. The company provides a platform that integrates blockchain technologies into games, enabling features such as token wallets, non-fungible token (NFT) minting and selling, and other services for managing digital and virtual assets. It primarily caters to the gaming industry. It was founded in 2018 and is based in San Francisco, California.",Post Office Box 191373 ,"San Francisco, California, 94104, ",United States,303-123-1113,https://forte.io,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/1f2a8fa1-3a44-495c-b289-82b067daa40f.png?w=3840,18,4,USA,Americas,2021,5,12
ChargeBee Technologies,3.5,2021-04-20,United States,San Francisco,Financial Services,"Insight Partners, Tiger Global Management, Accel",2011,$468.65M,"ChargeBee develops a recurring revenue management platform. The platform delivers a billing solution on the cloud. It integrates with payment gateways to let users automate recurring payment collection along with invoicing, taxes, accounting, email notifications, software-as-a-service (SaaS) metrics, and customer management. The company was formerly known as BubblePath. It was founded in 2011 and is based in Rockville, Maryland.",909 Rose Avenue Suite 610,"Rockville, Maryland, 20852, ",United States,877-288-9080,https://chargebee.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/b5fabffe-4b02-42a5-8856-fc127e595c67.png?w=3840,6,,USA,Americas,2021,4,20
Rohlik Group,1.2,2021-07-01,Czech Republic,Prague,Consumer & Retail,"Partech Partners, Index Ventures, Quadrille Capital",2014,$578.79M,"Rohlik Group provides online grocery delivery service, operating in the retail food industry. The company offers products, delivered within short time frames, and focuses on providing fresh food from local farmers and artisans, a broad supermarket selection, and its own private label brands. Rohlik primarily serves the ecommerce industry. It was founded in 2014 and is based in Prague, Czech Republic.","Karolinská 654/2, Karlín ","Prague, 18600, ",Czech Republic,800 730 740,https://rohlik.group,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/d0d59ea6-e68e-49e7-a489-7d94aa497bf8.png?w=3840,13,2,CZE,Europe,2021,7,1
Veepee,1.38,2007-07-02,France,La Plaine Saint-Denis,Consumer & Retail,"Summit Partners, Qatar Holding",,,"Veepee is the original creator of exclusive sales events on the internet with over 20 years of experience specializing in fashion and stylish homeware. These limited-time sales have led to the creation of a new way of shopping. Veepee organizes exclusive designer brand sales in all product categories: fashion, fashion accessories, homeware, sports products, electronics and wine to name just a few.","249, avenue du President Wilson ","La Plaine Saint-Denis, 93210, ",France,,https://veepee.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/41d17fbf-a8fa-427d-93ef-eb0128d563ab.png,,5,FRA,Europe,2007,7,2
Moveworks,2.1,2021-06-30,United States,Mountain View,Enterprise Tech,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers",2016,$305M,"Moveworks operates as a company specializing in automating employee support through a conversational artificial intelligence (AI) platform. The company offers solutions that enable users to interact with business systems using natural language for tasks such as information search, task automation, and content creation. Moveworks primarily serves sectors that require information technology (IT) service management, employee onboarding, and identity access management. It was founded in 2016 and is based in Mountain View, California.",1277 Terra Bella Avenue ,"Mountain View, California, 94043, ",United States,408-435-5100,https://moveworks.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/c6c6ebab-62a7-45c8-b013-e940f9b42221.png?w=3840,13,,USA,Americas,2021,6,30
K Health,1.5,2021-01-19,United States,New York,Healthcare & Life Sciences,"Max Ventures, Mangrove Capital Partners, 14W",2016,$387M,"K Health provides virtual primary care, medical weight management, urgent care, and mental health services through a mobile app and partnerships with health systems and insurers. These services are designed to provide data-driven and accessible medical consultations and treatments without insurance. K Health was formerly known as Kang Health. The company was founded in 2016 and is based in New York, New York.",387 Park Avenue South ,"New York, New York, 10016, ",United States,888-564-5250,https://khealth.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/b78d7f23-a947-4b89-b003-0962e53afc75.png?w=3840,24,,USA,Americas,2021,1,19
ConcertAI,1.9,2022-03-29,United States,Boston,Healthcare & Life Sciences,"Sixth Street Partners, Declaration Partners, Maverick Ventures Israel",2017,$320M,"ConcertAI is a leader in clinical artificial intelligence and real-world data products within the healthcare sector. The company offers a suite of AI-driven solutions and services designed to optimize clinical trials, provide predictive patient insights, and support commercial healthcare solutions. ConcertAI primarily serves the oncology research and clinical development sectors. It was founded in 2017 and is based in Cambridge, Massachusetts.",1120 Massachusetts Avenue ,"Cambridge, Massachusetts, 02138, ",United States,,https://concertai.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/b5db2f91-f9d7-47b7-8b93-6275d777b22f.png?w=3840,6,,USA,Americas,2022,3,29
ReliaQuest,1.0,2021-12-01,United States,Tampa,Enterprise Tech,"KKR, FTV Capital, Ten Eleven Ventures",2007,$330M,"ReliaQuest is a company that focuses on security operations in the cybersecurity industry. The company offers a security operations platform, GreyMatter, which automates detection, investigation, and response across various security tools, including cloud, endpoint, and on-premises applications. The platform is designed to increase visibility, reduce complexity, and manage risk. It was founded in 2007 and is based in Tampa, Florida.",777 South Harbour Island Boulevard Suite 500,"Tampa, Florida, 33602, ",United States,800-925-2159,https://reliaquest.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/6574079c-1444-43f8-915c-f174361f3e4d.png?w=3840,4,,USA,Americas,2021,12,1
Razorpay,7.5,2020-10-11,India,Bengaluru,Financial Services,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",2014,$741.62M,"Razorpay is a comprehensive financial solutions company that specializes in online payment processing and business banking solutions. The company offers a suite of products that enable businesses to accept, process, and disburse payments, manage payroll, and access credit services. Razorpay caters to a diverse range of sectors including e-commerce, education, financial services, SaaS, and freelancers. It was founded in 2014 and is based in Bengaluru, India.","1st Floor, SJR Cyber 22 Laskar Hosur Road, Adugodi","Bengaluru, 560030, ",India,1800-123-1272,https://razorpay.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/64f18edf-f0ef-49dd-aec1-89faf2bf14fa.png?w=3840,27,4,IND,Asia,2020,10,11
Afiniti,1.6,2017-04-14,Bermuda,Hamilton,Enterprise Tech,GAM Holding,2006,$327.2M,"Afiniti is an applied artificial intelligence company operating in the technology sector. The company's main service involves using patented AI technology to predict patterns in human interactions, which is then used to optimally pair customers with contact center agents. This service primarily caters to the customer service industry. Afiniti was formerly known as Satmap International Holdings. It was founded in 2006 and is based in Hamilton, Bermuda.",4-6 Wesley Street ,"Hamilton, HM 11, ",Bermuda,877-234-6484,https://afiniti.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/530b0653-f445-4637-84b3-3f3b848f7b0d.png?w=3840,10,,BMU,Americas,2017,4,14
SouChe Holdings,3.0,2017-11-01,China,Hangzhou,Industrials,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",2012,$1.282B,"SouChe provides a customer-to-customer (C2C) platform. It allows used-car sellers to dictate their own prices, with revenue generated from commissions charged on individual transactions. Its products connect used car dealers to small and large new car dealers in China. The company was founded in 2012 and is based in Hangzhou, China.",175 Wuchang Boulevard ,"Hangzhou, Zhejiang , ",China,+86 400-000-5678,https://souche.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/a663780a-c25e-47c4-a2d5-a91e14d3ed64.png?w=3840,22,5,CHN,Asia,2017,11,1
MobileCoin,1.06,2021-07-07,United States,San Francisco,Financial Services,"General Catalyst, Future Ventures, AU21",2018,$108.03M,"MobileCoin offers a digital payment system. It enables global end-to-end encrypted payments on a phone. The company ecosystem encompasses a wide range of components, including wallets, trading platforms, exchanges, bots, and developer tools. The company was founded in 2018 and is based in San Francisco, California.",1 Market Street ,"San Francisco, California, ",United States,415-971-1009,https://mobilecoin.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/c352d4b0-2bfd-4a7b-bbdc-606a8218c7a7.png?w=3840,13,,USA,Americas,2021,7,7
FiveTran,5.6,2020-06-30,United States,Oakland,Enterprise Tech,"Matrix Partners, Andreessen Horowitz, General Catalyst",2012,$853.02M,"Fivetran is a global leader in automated data movement, focusing on data integration and ELT processes within the technology sector. The company offers a platform that extracts, loads, and transforms data from various sources into cloud data destinations, enabling efficient and reliable data centralization. Fivetran primarily serves sectors that require robust data analytics and operational efficiency, such as finance, marketing, sales, and support. It was founded in 2012 and is based in Oakland, California.",1221 Broadway Floor 20,"Oakland, California, 94612, ",United States,415 -805-2799,https://fivetran.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/9b64e44d-1f00-4c29-95e0-86f551482668.png?w=3840,9,,USA,Americas,2020,6,30
Betterfly,1.0,2022-02-01,Chile,Santiago,Enterprise Tech,"QED Investors, DST Global, Endeavor",2018,$212.5M,"Betterfly provides a corporate wellness and insurance technology platform for employees' life insurance coverage. It facilitates human resources (HR) to select their collaborators' benefits and enables human resources to set contracts according to the team's needs and preferences. It offers language courses, psychology, online veterinary, gift cards for different businesses, and more. The company was formerly known as Burn to Give. It was founded in 2018 and is based in Santiago, Chile.","Apoquindo 4615 Office 1101 Floor 11, Las Condes","Santiago, 7550104, ",Chile,+56972493561,https://betterfly.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/e972e834-d87a-424c-8202-eddb827cc06a.png?w=3840,15,1,CHL,Americas,2022,2,1
Thumbtack,3.2,2015-09-29,United States,San Francisco,Consumer & Retail,"Tiger Global, Sequoia Capital, Google Capital",2008,$773.85M,"Thumbtack connects homeowners with local service professionals for home improvement and maintenance projects. The platform offers a range of services including home repair, cleaning, and event planning, simplifying the process of finding and booking trusted local pros. Thumbtack's marketplace serves various sectors including home renovation, maintenance, and event services. It was founded in 2008 and is based in Benicia, California.",415 Natoma Street  Suite 1300,"Benicia, California, 94510, ",United States,855-885-2925,https://thumbtack.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/57325daa-ddd8-4aec-93dc-109b6aedb3c6.png?w=3840,28,,USA,Americas,2015,9,29
Semperis,1.0,2024-06-20,United States,Hoboken,Enterprise Tech,"Tech Pioneers Fund, Ten Eleven Ventures, Hudson Ventures",2014,$365M,"Semperis specializes in Active Directory security and recovery solutions. The company offers a platform for hybrid AD threat prevention, detection, response, and recovery, as well as services for identity risk management and attack pattern detection. Semperis primarily serves sectors such as critical infrastructure, financial services, healthcare, insurance, retail, public sector, and transportation. Semperis was formerly known as Cloudify D.R. Technology. It was founded in 2014 and is based in Hoboken, New Jersey.",221 River Street 9th Floor,"Hoboken, New Jersey, 07030, ",United States,703-918-4884,https://semperis.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/acaa6004-1b15-42c5-beb0-8c42513bcec7.png?w=3840,11,,USA,Americas,2024,6,20
